Название,Дата публикации,URL,Имя файла,Статус,Метод
Что такое своп на бирже,28.12.2024,https://alfabank.ru/help/articles/investments/chto-takoe-svop-na-birzhe-prostym/,Что такое своп на бирже_article.html,success,playwright
Что такое эмитент,28.12.2024,https://alfabank.ru/help/articles/investments/chto-takoe-emitent/,Что такое эмитент_article.html,success,playwright
Как работает срочный рынок,28.12.2024,https://alfabank.ru/help/articles/investments/kak-rabotaet-srochnyj-rynok/,Как работает срочный рынок_article.html,success,playwright
Что такое дюрация облигаций?,21.11.2022,https://alfabank.ru/help/articles/investments/dyuratsiya-obligatsii-chto-eto/,Что такое дюрация облигаций_article.html,success,playwright
Как правильно инвестировать деньги в акции,21.01.2022,https://alfabank.ru/help/articles/investments/kak-investirovat-v-akcii/,Как правильно инвестировать деньги в акции_article.html,success,playwright
Как получить дивиденды с акций и как правильно их покупать,6.08.2024,https://alfabank.ru/help/articles/investments/kak-poluchit-dividendy-s-akcij/,Как получить дивиденды с акций и как правильно их _article.html,success,playwright
Что такое волатильность ценных бумаг,6.08.2024,https://alfabank.ru/help/articles/investments/chto-takoe-volatilnost-tsennyh-bumag/,Что такое волатильность ценных бумаг_article.html,success,playwright
Что такое IPO в инвестициях?,12.12.2022,https://alfabank.ru/help/articles/investments/ipo-chto-ehto-v-investiciyah/,Что такое IPO в инвестициях_article.html,success,playwright
Стратегия диверсификации инвестиционного портфеля,28.12.2024,https://alfabank.ru/help/articles/investments/strategiya-diversifikacii/,Стратегия диверсификации инвестиционного портфеля_article.html,success,playwright
Как купить акции Т-Банка,15.08.2023,https://alfabank.ru/help/articles/investments/kak-kupit-aktsii-tinkoff-bank/,Как купить акции Т-Банка_article.html,success,playwright
Как купить акции Сбера,15.08.2023,https://alfabank.ru/help/articles/investments/kak-kupit-aktsii-sberbanka-fizicheskomu-litsu/,Как купить акции Сбера_article.html,success,playwright
Как купить акции Газпрома,15.08.2023,https://alfabank.ru/help/articles/investments/kak-kupit-aktsii-gazproma-fizicheskomu-litsu/,Как купить акции Газпрома_article.html,success,playwright
Как купить акции Аэрофлота,15.08.2023,https://alfabank.ru/help/articles/investments/kak-kupit-aktsii-aeroflota/,Как купить акции Аэрофлота_article.html,success,playwright
Как купить акции Яндекса,15.12.2023,https://alfabank.ru/help/articles/investments/kak-kupit-aktsii-yandeksa/,Как купить акции Яндекса_article.html,success,playwright
Как купить акции Банка ВТБ,15.12.2023,https://alfabank.ru/help/articles/investments/kupit-aktsii-vtb-fizicheskomu-litsu/,Как купить акции Банка ВТБ_article.html,success,playwright
Как купить акции НК «Роснефть»,15.01.2024,https://alfabank.ru/help/articles/investments/kak-kupit-aktsii-rosnefti/,Как купить акции НК Роснефть_article.html,success,playwright
Как купить акции АК «АЛРОСА»,15.01.2024,https://alfabank.ru/help/articles/investments/kupit-aktsii-alrosa-fizicheskomu-litsu/,Как купить акции АК АЛРОСА_article.html,success,playwright
Что такое деривативы,13.12.2022,https://alfabank.ru/help/articles/investments/chto-takoe-derivativy/,Что такое деривативы_article.html,success,playwright
Что значит гэп на бирже,13.12.2022,https://alfabank.ru/help/articles/investments/chto-znachit-gep-na-birzhe/,Что значит гэп на бирже_article.html,success,playwright
Как рассчитать чистые активы,15.11.2023,https://alfabank.ru/help/articles/investments/kak-rasschitat-chistye-aktivy/,Как рассчитать чистые активы_article.html,success,playwright
Важность глинозёма для промышленности,15.06.2024,https://alfabank.ru/help/articles/investments/vazhnost-glinozema-dlya-promyshlennosti/,Важность глинозёма для промышленности_article.html,success,playwright
Подробнее о закрытых паевых инвестиционных фондах,15.06.2024,https://alfabank.ru/help/articles/investments/zakrytyj-paevoj-investitsionnyj-fond/,Подробнее о закрытых паевых инвестиционных фондах_article.html,success,playwright
Что такое вексель,15.06.2024,https://alfabank.ru/help/articles/investments/chto-takoe-veksel/,Что такое вексель_article.html,success,playwright
"Делистинг: что это такое, виды и порядок действий для инвестора",15.05.2024,https://alfabank.ru/help/articles/investments/chto-takoe-delisting/,Делистинг что это такое виды и порядок действий дл_article.html,success,playwright
Износ и амортизация основных фондов,15.05.2024,https://alfabank.ru/help/articles/investments/iznos-i-amortizatsiya-osnovnyj-fondov/,Износ и амортизация основных фондов_article.html,success,playwright
Что лучше: ИИС или брокерский счёт?,26.12.2023,https://alfabank.ru/help/articles/investments/chto-luchshe-iis-ili-brokerskij-schet/,Что лучше ИИС или брокерский счёт_article.html,success,playwright
Что такое ИИС?,01.10.2021,https://alfabank.ru/help/articles/investments/chto-takoe-iis,Что такое ИИС_chto-takoe-iis.html,success,playwright
Что такое брокерский счёт и как его открыть?,01.10.2021,https://alfabank.ru/help/articles/investments/chto-takoe-brkoreskij-schet,Что такое брокерский счёт и как его открыть_chto-takoe-brkoreskij-schet.html,success,playwright
Что такое инвестиции?,26.12.2023,https://alfabank.ru/help/articles/investments/chto-takoe-investicii/,Что такое инвестиции_article.html,success,playwright
Что такое дивиденды?,21.01.2022,https://alfabank.ru/help/articles/investments/chto-takoe-dividendy/,Что такое дивиденды_article.html,success,playwright
"Инвестиции для начинающих: пошаговая инструкция, как начать инвестировать с нуля",21.01.2022,https://alfabank.ru/help/articles/investments/investicii-dlya-nachinayushchih-s-chego-nachat/,Инвестиции для начинающих пошаговая инструкция как_article.html,success,playwright
Куда инвестировать небольшие суммы денег?,21.01.2022,https://alfabank.ru/help/articles/investments/kuda-investirovat-nebolshie-summy-deneg/,Куда инвестировать небольшие суммы денег_article.html,success,playwright
Что такое ETF фонды?,26.12.2023,https://alfabank.ru/help/articles/investments/chto-takoe-etf/,Что такое ETF фонды_article.html,success,playwright
Как получить налоговый вычет по ИИС?,26.12.2023,https://alfabank.ru/help/articles/investments/iis-nalogovyj-vychet/,Как получить налоговый вычет по ИИС_article.html,success,playwright
Как получить статус квалифицированного инвестора?,21.01.2022,https://alfabank.ru/help/articles/investments/chto-daet-status-kvalificirovannogo-investora/,Как получить статус квалифицированного инвестора_article.html,success,playwright
Куда инвестировать в 2022 году?,21.01.2022,https://alfabank.ru/help/articles/investments/investicii-kuda-vlozhit/,Куда инвестировать в 2022 году_article.html,success,playwright
Что такое инвестиционный портфель,21.01.2022,https://alfabank.ru/help/articles/investments/chto-takoe-investicionnyj-portfel/,Что такое инвестиционный портфель_article.html,success,playwright
Как купить акции физическому лицу,26.12.2023,https://alfabank.ru/help/articles/investments/kak-kupit-akcii-fizicheskomu-licu/,Как купить акции физическому лицу_article.html,success,playwright
Инвестиционный доход — что это?,15.03.2022,https://alfabank.ru/help/articles/investments/chto-takoe-investicionnyj-dohod/,Инвестиционный доход  что это_article.html,success,playwright
Портфельные инвестиции: что это и какими бывают?,15.03.2022,https://alfabank.ru/help/articles/investments/portfelnye-investicii-eto/,Портфельные инвестиции что это и какими бывают_article.html,success,playwright
Что такое ISIN и CFI ценных бумаг,01.09.2022,https://alfabank.ru/help/articles/investments/chto-takoe-isin-cfi-tsennoj-bumagi/,Что такое ISIN и CFI ценных бумаг_article.html,success,playwright
Как инвестировать в драгоценные металлы,01.09.2022,https://alfabank.ru/help/articles/investments/kak-investirovat-v-dragotsennye-metally/,Как инвестировать в драгоценные металлы_article.html,success,playwright
Что такое облигации,26.12.2023,https://alfabank.ru/help/articles/investments/chto-takoe-obligatsii/,Что такое облигации_article.html,success,playwright
Чем акции отличаются от облигаций,01.09.2022,https://alfabank.ru/help/articles/investments/chem-otlichayutsya-aktsii-ot-obligatsij/,Чем акции отличаются от облигаций_article.html,success,playwright
Что такое амортизация облигаций,01.09.2022,https://alfabank.ru/help/articles/investments/amortizatsiya-obligatsij-chto-eto/,Что такое амортизация облигаций_article.html,success,playwright
Как получить дивиденды Норникеля,01.09.2022,https://alfabank.ru/help/articles/investments/nornikel-dividendy-kak-poluchit/,Как получить дивиденды Норникеля_article.html,success,playwright
Как работают паевые фонды,07.10.2022,https://alfabank.ru/help/articles/investments/kak-rabotayut-paevye-fondy/,Как работают паевые фонды_article.html,success,playwright
Как вывести деньги с брокерского счета,07.10.2022,https://alfabank.ru/help/articles/investments/kak-vyvodit-s-brokerskogo-scheta/,Как вывести деньги с брокерского счета_article.html,success,playwright
Что такое ОФЗ,26.12.2023,https://alfabank.ru/help/articles/investments/chto-takoe-ofz-na-birzhe/,Что такое ОФЗ_article.html,success,playwright
Как закрыть ИИС,26.12.2023,https://alfabank.ru/help/articles/investments/kak-zakryt-schet-iis/,Как закрыть ИИС_article.html,success,playwright
Как проверить брокера,26.12.2023,https://alfabank.ru/help/articles/investments/kak-proverit-brokera/,Как проверить брокера_article.html,success,playwright
Что такое счет ОМС,14.10.2022,https://alfabank.ru/help/articles/investments/chto-takoe-schet-oms/,Что такое счет ОМС_article.html,success,playwright
Как закрыть брокерский счёт,26.12.2023,https://alfabank.ru/help/articles/investments/kak-zakryt-brokerskij-schet/,Как закрыть брокерский счёт_article.html,success,playwright
Что такое шорт в инвестициях,14.10.2022,https://alfabank.ru/help/articles/investments/chto-takoe-short-v-investitsiyah/,Что такое шорт в инвестициях_article.html,success,playwright
Как покупать в Альфа-Инвестициях,14.10.2022,https://alfabank.ru/help/articles/investments/kak-pokupat-v-alfa-investitsiyah/,Как покупать в Альфа-Инвестициях_article.html,success,playwright
Как погашаются облигации на брокерском счёте,14.10.2022,https://alfabank.ru/help/articles/investments/kak-pogashayutsya-obligatsii-na-brokerskom-schete/,Как погашаются облигации на брокерском счёте_article.html,success,playwright
Как пополнить брокерский счёт,21.10.2022,https://alfabank.ru/help/articles/investments/kak-popolnit-brokerskij-schet/,Как пополнить брокерский счёт_article.html,success,playwright
Как платить налоги с брокерского счёта,26.12.2023,https://alfabank.ru/help/articles/investments/kak-uplachivayutsya-nalogi-s-brokerskogo-scheta/,Как платить налоги с брокерского счёта_article.html,success,playwright
Как заполнить декларацию по дивидендам,21.10.2022,https://alfabank.ru/help/articles/investments/kak-zapolnit-deklaratsiyu-po-dividendam/,Как заполнить декларацию по дивидендам_article.html,success,playwright
Что такое биржевые паевые инвестиционные фонды,21.10.2022,https://alfabank.ru/help/articles/investments/chto-takoe-birzhevye-paevye-investitsionnye-fondy/,Что такое биржевые паевые инвестиционные фонды_article.html,success,playwright
Что означает погашение облигаций,26.12.2023,https://alfabank.ru/help/articles/investments/chto-oznachaet-pogashenie-obligatsij/,Что означает погашение облигаций_article.html,success,playwright
Чем отличается ПИФ от ETF,21.10.2022,https://alfabank.ru/help/articles/investments/chem-otlichaetsya-pif-ot-etf/,Чем отличается ПИФ от ETF_article.html,success,playwright
Доверительное управление: что это и как оформить,02.11.2022,https://alfabank.ru/help/articles/investments/kak-peredat-aktsii-v-doveritelnoe-upravlenie/,Доверительное управление что это и как оформить_article.html,success,playwright
Что такое накопленный купонный доход по облигациям,02.11.2022,https://alfabank.ru/help/articles/investments/chto-takoe-nakoplennyj-kuponnyj-dohod-po-obligatsiyam/,Что такое накопленный купонный доход по облигациям_article.html,success,playwright
Кто такой брокер?,12.12.2022,https://alfabank.ru/help/articles/investments/chto-takoe-broker/,Кто такой брокер_article.html,success,playwright
Что делать с акциями Газпрома сейчас?,13.12.2022,https://alfabank.ru/help/articles/investments/chto-s-aktsiyami-gazproma/,Что делать с акциями Газпрома сейчас_article.html,success,playwright
Что происходит с акциями Лукойла?,13.12.2022,https://alfabank.ru/help/articles/investments/chto-s-aktsiyami-lukojla/,Что происходит с акциями Лукойла_article.html,success,playwright
Что происходит с акциями Норникеля?,13.12.2022,https://alfabank.ru/help/articles/investments/chto-s-aktsiyami-nornikel/,Что происходит с акциями Норникеля_article.html,success,playwright
"Что лучше покупать слитки, монеты или ОМС?",22.12.2022,https://alfabank.ru/help/articles/investments/chto-luchshe-oms-slitki-ili-monety/,Что лучше покупать слитки монеты или ОМС_article.html,success,playwright
Стакан на бирже акций,22.12.2022,https://alfabank.ru/help/articles/investments/chto-pokazyvaet-stakan-na-birzhe-aktsij/,Стакан на бирже акций_article.html,success,playwright
Что такое бескупонные облигации?,26.12.2023,https://alfabank.ru/help/articles/investments/chto-takoe-beskuponnaya-obligatsiya/,Что такое бескупонные облигации_article.html,success,playwright
Что такое венчурное инвестирование,17.03.2023,https://alfabank.ru/help/articles/investments/venchurnoe-investirovanie-chto-eto/,Что такое венчурное инвестирование_article.html,success,playwright
Что такое фьючерсы и как торговать ими,17.03.2023,https://alfabank.ru/help/articles/investments/chto-takoe-fyuchersy/,Что такое фьючерсы и как торговать ими_article.html,success,playwright
Как купить гонконгский доллар на бирже,24.03.2023,https://alfabank.ru/help/articles/investments/kak-kupit-gonkongskij-dollar/,Как купить гонконгский доллар на бирже_article.html,success,playwright
Инвестиции для пенсии,24.03.2023,https://alfabank.ru/help/articles/investments/investitsii-dlya-pensii/,Инвестиции для пенсии_article.html,success,playwright
Что такое доходность облигации,24.03.2023,https://alfabank.ru/help/articles/investments/chto-takoe-dohodnost-obligatsii/,Что такое доходность облигации_article.html,success,playwright
Что означает оферта по облигациям,24.03.2023,https://alfabank.ru/help/articles/investments/chto-oznachaet-oferta-po-obligatsiyam/,Что означает оферта по облигациям_article.html,success,playwright
Что характеризует ликвидность акции на бирже,24.03.2023,https://alfabank.ru/help/articles/investments/chto-harakterizuet-likvidnost-aktsii-na-birzhe/,Что характеризует ликвидность акции на бирже_article.html,success,playwright
Что выгоднее облигации или вклад,26.12.2023,https://alfabank.ru/help/articles/investments/chto-vygodnee-obligatsii-ili-vklad/,Что выгоднее облигации или вклад_article.html,success,playwright
Юань как валюта для сбережений,6.04.2023,https://alfabank.ru/help/articles/investments/yuan-kak-valyuta-dlya-sberezhenij/,Юань как валюта для сбережений_article.html,success,playwright
Что происходит при экспирации фьючерса,12.04.2023,https://alfabank.ru/help/articles/investments/chto-proishodit-pri-ekspiratsii-fyuchersa/,Что происходит при экспирации фьючерса_article.html,success,playwright
Какие самые выгодные облигации в 2023?,26.03.2023,https://alfabank.ru/help/articles/investments/kakie-samye-vygodnye-obligatsii/,Какие самые выгодные облигации в 2023_article.html,success,playwright
Что такое флоатер,26.04.2023,https://alfabank.ru/help/articles/investments/floutery-obligatsii-chto-eto/,Что такое флоатер_article.html,success,playwright
Инвестирование в облигации: плюсы и минусы,26.12.2023,https://alfabank.ru/help/articles/investments/investirovanie-v-obligacii-plyusy-i-minusy/,Инвестирование в облигации плюсы и минусы_article.html,success,playwright
Что такое опционы и как ими торговать,12.07.2023,https://alfabank.ru/help/articles/investments/chto-takoe-optsiony-i-kak-imi-torgovat/,Что такое опционы и как ими торговать_article.html,success,playwright
Какие акции покупать на долгосрочную перспективу,26.12.2023,https://alfabank.ru/help/articles/investments/kakie-aktsii-pokupat-na-dolgosrochnuyu-perspektivu/,Какие акции покупать на долгосрочную перспективу_article.html,success,playwright
Виды ценных бумаг на бирже,21.07.2023,https://alfabank.ru/help/articles/investments/vidy-tsennyh-bumag-na-birzhe/,Виды ценных бумаг на бирже_article.html,success,playwright
Мажоритарные и миноритарные акционеры,7.09.2023,https://alfabank.ru/help/articles/investments/mazhoritarnye-i-minoritarnye-aktsionery/,Мажоритарные и миноритарные акционеры_article.html,success,playwright
Индекс Dow Jones,7.09.2023,https://alfabank.ru/help/articles/investments/indeks-dow-jones/,Индекс Dow Jones_article.html,success,playwright
Что такое прибыль предприятия,7.09.2023,https://alfabank.ru/help/articles/investments/pribyl-predpriyatiya-eto/,Что такое прибыль предприятия_article.html,success,playwright
Что такое монетарная политика,17.10.2023,https://alfabank.ru/help/articles/investments/chto-takoe-monetarnaya-politika/,Что такое монетарная политика_article.html,success,playwright
Что такое индекс РТС?,24.10.2023,https://alfabank.ru/help/articles/investments/chto-takoe-rts/,Что такое индекс РТС_article.html,success,playwright
Фьючерс на нефть что это,15.10.2023,https://alfabank.ru/help/articles/investments/fyuchers-na-neft-chto-eto/,Фьючерс на нефть что это_article.html,success,playwright
Что такое клиринг на бирже,15.10.2023,https://alfabank.ru/help/articles/investments/chto-takoe-kliring-na-birzhe/,Что такое клиринг на бирже_article.html,success,playwright
Как читать финансовую отчетность компаний,15.10.2023,https://alfabank.ru/help/articles/investments/kak-chitat-finansovuyu-otchetnost-kompanij/,Как читать финансовую отчетность компаний_article.html,success,playwright
Что такое дата отсечки по дивидендам,05.02.2024,https://alfabank.ru/help/articles/investments/data-otsechki-po-dividendam-chto-eto/,Что такое дата отсечки по дивидендам_article.html,success,playwright
Куда вложить 500 000 рублей,29.02.2024,https://alfabank.ru/help/articles/investments/kuda-vlozhit-500000-rublej/,Куда вложить 500 000 рублей_article.html,success,playwright
Как купить акции X5 Retail Group,15.11.2023,https://alfabank.ru/help/articles/investments/kak-kupit-aktsii-x5-retail-group/,Как купить акции X5 Retail Group_article.html,success,playwright
Как купить акции ЛУКОЙЛА,15.11.2023,https://alfabank.ru/help/articles/investments/kak-kupit-aktsii-lukojla-fizicheskomu-litsu/,Как купить акции ЛУКОЙЛА_article.html,success,playwright
Что значит медвежий и бычий рынок на бирже,15.09.2024,https://alfabank.ru/help/articles/investments/bychij-i-medvezhij-rynok/,Что значит медвежий и бычий рынок на бирже_article.html,success,playwright
Что такое Форекс и как работает рынок,15.09.2024,https://alfabank.ru/help/articles/investments/chto-takoe-foreks/,Что такое Форекс и как работает рынок_article.html,success,playwright
Что такое хеджирование,15.01.2024,https://alfabank.ru/help/articles/investments/hedzhirovanie-chto-eto-prostymi-slovami/,Что такое хеджирование_article.html,success,playwright
Как заработать на инвестициях?,26.12.2023,https://alfabank.ru/help/articles/investments/kak-zarabotat-na-investiciyah/,Как заработать на инвестициях_article.html,success,playwright
Как диверсифицировать инвестиционный портфель?,21.01.2024,https://alfabank.ru/help/articles/investments/chto-takoe-diversifikaciya-portfelya/,Как диверсифицировать инвестиционный портфель_article.html,success,playwright
Какие есть стратегии инвестирования,26.12.2023,https://alfabank.ru/help/articles/investments/strategii-investirovaniya/,Какие есть стратегии инвестирования_article.html,success,playwright
Куда вложить деньги для пассивного дохода,26.12.2023,https://alfabank.ru/help/articles/investments/kuda-vlozhit-dengi-dlya-passivnogo-dohoda/,Куда вложить деньги для пассивного дохода_article.html,success,playwright
Как инвестировать в золото,15.03.2022,https://alfabank.ru/help/articles/investments/kak-investirovat-v-zoloto/,Как инвестировать в золото_article.html,success,playwright
Что такое биржа,15.05.2024,https://alfabank.ru/help/articles/investments/chto-takoe-birzha/,Что такое биржа_article.html,success,playwright
В какую валюту вложиться,24.03.2023,https://alfabank.ru/help/articles/investments/kuda-vlozhit-valyutu/,В какую валюту вложиться_article.html,success,playwright
Что такое хедж-фонд,28.12.2024,https://alfabank.ru/help/articles/investments/hedzh-fond-eto/,Что такое хедж-фонд_article.html,success,playwright
Что такое котировальные списки акций на бирже,02.11.2022,https://alfabank.ru/help/articles/investments/chto-takoe-kotirovalnye-spiski-aktsij-na-birzhe/,Что такое котировальные списки акций на бирже_article.html,success,playwright
